entity_id,classkind,code,blockid,chapterno
130578959,category,2C76.42,,2
1711927798,category,2C76.43,,2
,category,2C76.Y,,2
,category,2C76.Z,,2
1256072522,category,2C77,,2
1544785014,category,2C77.0,,2
261293318,category,2C77.1,,2
156186129,category,2C77.2,,2
128151553,category,2C77.3,,2
,category,2C77.Y,,2
,category,2C77.Z,,2
1551596364,category,2C78,,2
367402464,category,2C79,,2
,category,2C7Y,,2
,category,2C7Z,,2
1894406676,block,,BlockL3-2C8,2
673566475,category,2C80,,2
1915129755,category,2C80.2,,2
,category,2C80.Y,,2
,category,2C80.Z,,2
969101922,category,2C81,,2
186592209,category,2C81.0,,2
574863499,category,2C81.1,,2
,category,2C81.Y,,2
,category,2C81.Z,,2
1552457716,category,2C82,,2
1510677183,category,2C82.0,,2
,category,2C82.Y,,2
,category,2C82.Z,,2
5747278,category,2C83,,2
1877062675,category,2C83.0,,2
,category,2C83.Y,,2
,category,2C83.Z,,2
1299055263,category,2C84,,2
,category,2C8Z,,2
1096290580,block,,BlockL3-2C9,2
1048613131,category,2C90,,2
825917541,category,2C90.0,,2
,category,2C90.Y,,2
,category,2C90.Z,,2
1540054175,category,2C91,,2
2135776892,category,2C91.0,,2
,category,2C91.Y,,2
,category,2C91.Z,,2
795216992,category,2C92,,2
1470811231,category,2C92.0,,2
,category,2C92.Y,,2
,category,2C92.Z,,2
1705187418,category,2C93,,2
1661934843,category,2C93.0,,2
2024861803,category,2C93.1,,2
1513300494,category,2C93.2,,2
,category,2C93.Y,,2
,category,2C93.Z,,2
1244512758,category,2C94,,2
1907332818,category,2C94.0,,2
1981804514,category,2C94.1,,2
1237451411,category,2C94.2,,2
,category,2C94.Y,,2
,category,2C94.Z,,2
1800186673,category,2C95,,2
20708394,category,2C95.0,,2
1525098224,category,2C95.1,,2
519985380,category,1E83,,1
,category,1E8Z,,1
80976093,block,,BlockL2-1E9,1
1805574500,category,1E90,,1
1667539108,category,1E90.0,,1
145288168,category,1E90.1,,1
1843603058,category,1E90.2,,1
,category,1E90.Y,,1
523481501,category,1E91,,1
1659043996,category,1E91.0,,1
2105678631,category,1E91.1,,1
2059524172,category,1E91.2,,1
415880883,category,1E91.3,,1
1778898783,category,1E91.4,,1
912466759,category,1E91.40,,1
115616439,category,1E91.41,,1
,category,1E91.4Y,,1
321057933,category,1E91.5,,1
,category,1E91.Y,,1
,category,1E91.Z,,1
248851702,category,1F00,,1
1897656051,category,1F00.0,,1
1518322360,category,1F00.00,,1
1720001875,category,1F00.01,,1
1086416908,category,1F00.02,,1
549327141,category,1F00.03,,1
,category,1F00.0Y,,1
1985490330,category,1F00.1,,1
1188755650,category,1F00.10,,1
1847489994,category,1F00.11,,1
,category,1F00.1Y,,1
,category,1F00.1Z,,1
163693711,category,1F00.2,,1
1627222936,category,1F00.20,,1
320069644,category,1F00.21,,1
1740550387,category,1F00.3,,1
,category,1F00.Y,,1
,category,1F00.Z,,1
1883970802,category,1F01,,1
410022648,category,1F02,,1
869374630,category,1F02.0,,1
2131502234,category,1F02.1,,1
1478349286,category,1F02.2,,1
,category,1F02.Y,,1
1826431497,category,1F03,,1
1503293914,category,1F03.0,,1
844511898,category,1F03.1,,1
1461581580,category,1F03.2,,1
,category,1F03.Y,,1
352375140,category,1F04,,1
299242184,category,1F05,,1
1726890736,category,1F05.0,,1
61181798,category,1F05.1,,1
1295135613,category,1F05.2,,1
1008730501,category,1F05.3,,1
,category,1F05.Y,,1
,category,1F0Y,,1
,category,1F0Z,,1
1939815950,block,,BlockL1-1F2,1
1913468488,category,1F20,,1
1314810340,category,1F20.0,,1
710893141,category,1F20.00,,1
2019158769,category,1F20.01,,1
489221449,category,1F20.02,,1
,category,1F20.0Y,,1
2043496606,category,1F20.1,,1
942630604,category,1F20.10,,1
1355660816,category,1F20.11,,1
86747759,category,1F20.12,,1
2132861880,category,1F20.13,,1
107634429,category,1F20.14,,1
1478604320,category,1F20.15,,1
,category,1F20.1Y,,1
,category,1F20.Z,,1
589245621,category,2A90.A,,2
1179967777,category,2A90.B,,2
855224800,category,2A90.C,,2
1998421548,block,,BlockL3-2B0,2
1550338805,category,2B00,,2
901411509,category,2B01,,2
1358020385,category,2B02,,2
1046496266,category,2B03,,2
1972636482,category,2B03.0,,2
1791207220,category,2B03.1,,2
,category,2B0Y,,2
,category,2B0Z,,2
,category,2B2Y,,2
,category,2B2Z,,2
1528863768,category,2B30,,2
331115338,category,2B30.0,,2
1616050398,category,2B30.1,,2
1995941600,category,2B30.10,,2
352299041,category,2B30.11,,2
39515681,category,2B30.12,,2
1729182645,category,2B30.13,,2
,category,2B30.1Z,,2
,category,2B30.Z,,2
2022303330,category,2B31,,2
98595592,category,2B31.0,,2
911785965,category,2B31.1,,2
216625985,category,2B31.2,,2
2119495866,category,2B31.20,,2
,category,2B31.2Y,,2
588958190,category,2B31.3,,2
214592620,category,2B31.4,,2
15445528,category,2B31.5,,2
583219258,category,2B31.6,,2
357570888,category,2B31.7,,2
,category,2B31.Y,,2
,category,2B31.Z,,2
1678636940,category,2B32,,2
713946165,category,2B32.0,,2
316694644,category,2B32.1,,2
811840017,category,2B32.2,,2
133206895,category,2B32.3,,2
,category,2B32.Y,,2
,category,2B32.Z,,2
1510618119,category,2B33,,2
962107653,category,2B33.0,,2
2018018546,category,2B33.1,,2
596808334,category,2B33.2,,2
216388623,category,2B33.3,,2
1385484871,category,2B33.4,,2
474972159,category,2B33.5,,2
,category,2B33.Y,,2
,category,2B3Z,,2
2009008947,block,,BlockL1-2B5,2
1643222460,block,,BlockL2-2B5,2
1965082709,block,,BlockL3-2B5,2
1625755389,category,2B50,,2
2072379825,category,2B50.0,,2
1493554134,category,2B50.1,,2
1985099973,category,2B50.2,,2
,category,2B50.Y,,2
,category,2B50.Z,,2
1210287093,category,2B51,,2
1102292672,category,2B51.0,,2
1664120027,category,2B51.1,,2
1419990437,category,2B51.2,,2
,category,2B51.Y,,2
,category,2B51.Z,,2
1651102476,category,2B52,,2
1174658956,category,2B52.0,,2
1435254666,chapter,,,1
588616678,block,,BlockL1-1A0,1
135352227,block,,BlockL2-1A0,1
257068234,category,1A00,,1
416025325,category,1A01,,1
2080365623,category,1A02,,1
344162786,category,1A03,,1
2099226249,category,1A03.0,,1
408185629,category,1A03.1,,1
1828273122,category,1A03.2,,1
162723448,category,1A03.3,,1
,category,1A03.Y,,1
,category,1A03.Z,,1
250688797,category,1A04,,1
1000894786,category,1A05,,1
794462570,category,1A06,,1
1528414070,category,1A07,,1
364534567,category,1A07.0,,1
,category,1A07.Y,,1
,category,1A07.Z,,1
1780040028,category,1A08,,1
515117475,category,1A09,,1
1520312138,category,1A09.0,,1
,category,1A09.Y,,1
,category,1A09.Z,,1
,category,1A0Y,,1
,category,1A0Z,,1
1834648119,block,,BlockL2-1A1,1
1642556936,category,1A10,,1
78422942,category,1A11,,1
2033726602,category,1A11.0,,1
1393712712,category,1A11.1,,1
,category,1A11.Z,,1
1879176035,category,1A12,,1
1722068323,category,1A13,,1
,category,1A1Y,,1
,category,1A1Z,,1
30738976,block,,BlockL2-1A2,1
749414717,category,1A20,,1
1185210745,category,1A21,,1
840750347,category,1A22,,1
1465325727,category,1A23,,1
1519125035,category,1A24,,1
,category,1A2Y,,1
,category,1A2Z,,1
2092703582,block,,BlockL2-1A3,1
2090337975,category,1A30,,1
433310499,category,1A31,,1
1837013982,category,1A32,,1
137713224,category,1A33,,1
1058992628,category,1A33.0,,1
883510242,category,1A33.1,,1
,category,1A33.Y,,1
,category,1A33.Z,,1
261748740,category,1A34,,1
1184241320,category,1A35,,1
435671752,category,1A36,,1
1727029934,category,1A36.0,,1
